impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K26-187694,A744917,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3057360,LOST,Ashlee,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Mar 26, 2026",Date Lost,33300 block of  206TH AVE SE,,,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3057360,Image Copyright HLP Inc. 2026,"Description: Grey with white paws and chest<p/>Age: Over 1 year<p/>Location Lost: 33313 206th Ave SE, Auburn WA  98092<p/>Lost Date: 2026-03-26<p/>",
K26-188007,A745601,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A745601,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Riff,Dog,5 MONTHS,Female,Australian Shepherd / Mix,Brown / White,"Apr 13, 2026",Received on,27300 block of  129TH PL SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745601,Image Copyright HLP Inc. 2026,"Received on: 2026-04-13<p/> Found Near: 27300 block of  129TH PL SE<p/> Description: Brown / White Female Australian Shepherd / Mix Dog<p/> Age: 5 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K26-187977,A745540,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3062584,In Public Home,,Bird,Unknown<p/>,Unknown,,Unknown,"Apr 12, 2026",Date Found,4400 block of  S 148TH ST,Tukwila,,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3062584,Image Copyright HLP Inc. 2026,Description: Male peacock<p/>Age: Unknown<p/>Found Near: 4400 block of  S 148TH ST<p/>Found Date: 2026-04-12<p/>,
K26-188040,A745649,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3063118,LOST,Panthyre,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Black,"Mar 29, 2026",Date Lost,,,,,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3063118,Image Copyright HLP Inc. 2026,"<p/>Age: Over 1 year<p/>Location Lost: 215 Whitworth Ave S Apt 506 Renton WA, Renton WA  98057<p/>Lost Date: 2026-03-29<p/>",
K26-187948,A745482,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3061761,In Public Home,,Dog,Unknown<p/>,Unknown,Pit Bull,Unknown,"Apr 10, 2026",Date Found,S  196th Pl & Des Moines Memorial Dr S,Des Moines,,98148,DES MOINES,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3061761,Image Copyright HLP Inc. 2026,"Description: Three dogs Found together, two males and one female. One male is white, the other two are dark brown pit bulls/ similar looking breed. Only one collar, no tags. <p/>Age: Unknown<p/>Found Near: S 196TH PL AND DES MOINES MEMORIAL DRIVE, Seattle WA  98148<p/>Found Date: 2026-04-10<p/>",
K26-187465,A744440,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3053326,In Public Home,?,Dog,Unknown<p/>,Unknown,German Shepherd,Unknown,"Mar 16, 2026",Date Found,S  138th St & Macadam Rd S,Tukwila,,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3053326,Image Copyright HLP Inc. 2026,"<p/>Age: Unknown<p/>Found Near: S 138th St and Macadam Road S. in Tukwila, Seattle WA  98168<p/>Found Date: 2026-03-16<p/>",
K26-187983,A745564,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,1 WEEK,Male,Domestic Shorthair,Gray / White,"Apr 13, 2026",Received on,22600 block of  88TH AVE S,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745564,Image Copyright HLP Inc. 2026,Received on: 2026-04-13<p/> Found Near: 22600 block of  88TH AVE S<p/> Description: Gray / White Male Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>,
K26-187845,A745316,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3060556,In Public Home,,Bird,Unknown<p/>,Unknown,,White,"Apr 06, 2026",Date Found,SR  161 & 28th Ave S,King County,,98003,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3060556,Image Copyright HLP Inc. 2026,"Description: All-white bird that is roughly 10-12 inches from head to tail feathers. Possibly a dove or a King Pigeon??? The bird has a blue and pink band on its left leg and a blue band on its right leg. Still looks to be in good condition and has been flying short distances in our backyard.<p/>Age: Unknown<p/>Found Near: Hwy 161 and 28th Ave, Federal Way WA  98003<p/>Found Date: 2026-04-06<p/>",
K26-187930,A745456,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A745456,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Moonie,Barn Cat,1 YEAR,Spayed Female,Domestic Shorthair,Black,"Apr 10, 2026",Received on,20400 block of  34TH PL S,SEATAC,WA,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745456,Image Copyright HLP Inc. 2026,"Received on: 2026-04-10<p/> Found Near: 20400 block of  34TH PL S<p/> Description: Black Spayed Female Domestic Shorthair Barn Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K26-187331,A744124,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3050304,In Public Home,,Dog,Over 1 year<p/>,Female,American Pit Bull Terrier,Brown,"Mar 07, 2026",Date Found,SE  306th Pl & 128th Pl SE,Auburn,,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3050304,Image Copyright HLP Inc. 2026,"Description: Small to medium female dog, looks like a pitbull mix, light brown/gold/tan with brown eyes and a small white patch on her chest. She looks approximately 30lbs, underweight (ribs and spine showing). Pink nose, tail and ears are intact/not cropped. Very friendly, well behaved, rode well in the car. Wearing what looks like a thin black dog door collar, as well as a regular purple collar. Not microchipped. <p/>Age: Over 1 year<p/>Found Near: SE 306th Pl and 128th Pl SE, Auburn WA  98092<p/>Found Date: 2026-03-07<p/>",
K26-187711,A744948,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3057769,LOST,Ella,Dog,Over 1 year<p/>,Female,Yorkshire Terrier,Brown,"Mar 20, 2026",Date Lost,COWEN  PL NE IN COWEN PARK,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3057769,Image Copyright HLP Inc. 2026,"Description: Ella is a golden Yorkipoo with little black tufts. She ran away from her foster parent so I know she is looking for me and just wants to find her way home. She went missing over a week ago so I’m sure she is hungry, please feed her. If you have any information please call 206-380-0543 and if you find her bring her to 937 N 96th St and ask for Ashle in 310. Tell them I will be in 519 and it’s okay to give her to my boyfriend Wally if I’m not available. <p/>Age: Over 1 year<p/>Location Lost: Cowen Pl NE in Cowen Park, Seattle WA  98105<p/>Lost Date: 2026-03-20<p/>",
K26-187756,A745112,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3058682,In Public Home,,Dog,Over 1 year<p/>,Male,Alaskan Husky,Black,"Apr 01, 2026",Date Found,8TH  ST OFF RAMP TOWARDS KIRKLAND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3058682,Image Copyright HLP Inc. 2026,"Description: Found with a metal chain link collar. <p/>Age: Over 1 year<p/>Found Near: 8th St Off Ramp towards Kirkland, Bellevue WA  98005<p/>Found Date: 2026-04-01<p/>",
K26-187946,A745480,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A745480,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dixie,Dog,2 YEARS,Spayed Female,Siberian Husky / Pit Bull,Gray / White,"Apr 10, 2026",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745480,Image Copyright HLP Inc. 2026,"Received on: 2026-04-10<p/> Description: Gray / White<p/>  Spayed Female Siberian Husky / Pit Bull Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is DIXIE and I am available for adoption.<p/><p/><p/>I was brought in by a good Samaritan on  04/10/2026<p/><p/>I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/>I weigh 46 lbs and am considered a medium breed dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to [""sit"", ""stay"", ""come"", ""down"" and ""shake"".]<p/><p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/><p/>",
